Constantin Chiriţă,,,,,,,,,,,,,,
"— De fapt… Îi luă Lucia vorba din gură, e un lucru cât se poate de serios. Cred că putem începe votarea.",,,,,,,,,,,,,,
"— Dacă e un lucru serios, şi este, spuse Dan, atunci resping acest creion. Cine mai are creion cafeniu? Mi se pare că numai eu…",,,,,,,,,,,,,,
— Al meu e roşu! Descoperi Maria. Cine mai are creion roşu? Va să zică nimeni!,,,,,,,,,,,,,,
— Al meu e albastru! Se miră Ionel.,,,,,,,,,,,,,,
— Aoleu! Se îngrozi Lucia. Creioanele mele! Colecţia mea! Daţi-mi-le înapoi imediat! Fiecare să scrie cu creionul lui… Doamne! Ce era să păţesc!,,,,,,,,,,,,,,
— Tu?! O cântări Dan. Ce era să păţim noi!… Am citit nu ştiu ce carte despre nişte alegeri cu culori şi cretă şi răzbunări…,,,,,,,,,,,,,,
"— Poate că ar fi mai bine să votăm cu mâna, la primul scrutin… Spuse Maria.",,,,,,,,,,,,,,
— Nu-s de acord! Răsună vocea fermă a lui Ionel. Începe să pară totul o joacă… Gata!,,,,,,,,,,,,,,
Gata! În cinci secunde bileţelele celor şase alegători poposiră în urnă. Lucia se văzu nevoită să aprindă lanterna pentru a le citi. Întunericul coborâse brusc.,,,,,,,,,,,,,,
— Victor trei… Ionel trei… Anunţă Lucia.,,,,,,,,,,,,,,
Şi rezultatul o miră foarte tare. Nu putea să-şi închipuie cine-i acordase lui Ionel cel de al treilea vot. Mai că-i venea să regrete că alegătorii nu folosiseră colecţia ei de creioane colorate. Cine-i dăduse al treilea vot lui Ionel?… Dan? Maria? Ursu? Imposibil. Singurul la care nu se gândea era Victor. Dar timpul se grăbea:,,,,,,,,,,,,,,
— Trebuie un al doilea scrutin… se grăbi şi ea.,,,,,,,,,,,,,,
De data asta răsună foarte dură şi categorică vocea lui Ursu:,,,,,,,,,,,,,,
— Nu! Votul poate să mai aştepte. E ceva mult mai grav!,,,,,,,,,,,,,,
Toţi presimţiră apropierea unei ameninţări. Dar vocea lui Ursu deveni imediat calmă şi liniştitoare:,,,,,,,,,,,,,,
— Poate că nu-i chiar atât de grav… Mi se pare că s-a rătăcit cineva în pădure…,,,,,,,,,,,,,,
— Cine? Întrebă un cor uluit.,,,,,,,,,,,,,,
— Tic! Răspunse Ursu. L-am văzut de la Zănoaga şi i-am lăsat semne foarte sigure. Dacă n-a ajuns aici până acum… Şi din păcate s-a întunecat…,,,,,,,,,,,,,,
În câteva clipe toţi cireşarii cunoşteau povestea lui Ursu.,,,,,,,,,,,,,,
"Zguduită, Maria rosti întrebarea tuturor:",,,,,,,,,,,,,,
— Ce putem face?,,,,,,,,,,,,,,
Umbrele serii se transformaseră în pâclă groasă.,,,,,,,,,,,,,,
— Mai întâi focul! Spuse Victor. Trebuie să facem un foc mare ca să se vadă de departe.,,,,,,,,,,,,,,
— Şi noi să rămânem de mămăligă lângă foc? Spuse cu un ton de protest Ionel.,,,,,,,,,,,,,,
"— Eu zic să facem două grupuri, îl linişti Ursii, şi să intrăm în pădure pe două căi. Fiecare grup cu o lanternă. Câte doi…",,,,,,,,,,,,,,
"— Atunci să facem trei grupuri, socoti Lucia.",,,,,,,,,,,,,,
"— Ursu are dreptate, interveni Ionel. Trebuie să facă cineva focul şi să-l păzească.",,,,,,,,,,,,,,
"— Ba putem face trei grupuri, pentru că avem trei lanterne, spuse Victor. Ursu, un grup, şi alte două grupuri de câte doi. Eu cu Maria…",,,,,,,,,,,,,,
"De'odată se auziră vreascurile pârâind şi o limbă galbenă, uriaşă ţâşni spre cer. Ionel aprinsese focul.",,,,,,,,,,,,,,
— Şi eu cu Dan! Spuse Lucia. Ionel să rămână la foc. Gata! Luaţi lanternele!,,,,,,,,,,,,,,
"— O secundă! Ceru Victor. Să ne înţelegem asupra semnalelor. Fiecare îşi va striga numele ca să ne recunoaştem direcţiile. Din minut în minut, sau la jumătate de minut. Prin „A” se dă alarma, prin „IU” se anunţă găsirea lui Tic.",,,,,,,,,,,,,,
— Plecarea! Strigă Ursu uitându-se în urmă.,,,,,,,,,,,,,,
"Totul se petrecuse în câteva minute. Fdcul de lângă corturi devenise o vâlvătaie. Ionel arunca mereu vreascuri, şi nici o primejdie nu ameninţa împrejurimile. Groapa fusese săpată după ce încercaseră roza vânturilor. Cercetaşii nocturni pătrunseseră în pădure pe trei căi: Lucia şi Dan pe potecă, Ursu în dreapta lor, Victor şi Maria în stânga. Strigându-şi la intervale regulate numele, înaintau spre inima pădurii. Copleşiţi de spaimă şi de speranţă.",,,,,,,,,,,,,,
"Prichidelul avusese o licărire de luciditate în groaza lui. Amintindu-şi că muşchiul copacilor arată cam întotdeuna nordul, îşi învinsese spaima şi pipăi cu mâinile scoarţa câtorva arbori. După ce simţi pe alocuri, în vârful degetelor, porţiuni mătăsoase, reveni apoi pe cărarea în care păzea ca o santinelă Ţombi cel iarăşi curajos, şi astfel ghici direcţia peşterii.",,,,,,,,,,,,,,
"Rolurile celor doi nenorociţi se inversară. Ţombi trecu în frunte cu misiunea foarte strictă de a nu se abate cu un centimetru de la potecă. Poate că pentru prima dată, căţelul cu sânge albastru regretă că nu seamănă la miros cu javrele obişnuite, dar îşi scormoni cu atâta tenacitate amintirile ancestrale că parcă simţi în nări nişte odoruri cunoscute, sau poate numai unul cunoscut care-i deveni imediat chiar familiar. Tic nu putea să-l urmeze în întunericul tot mai gros decât slujindu-se de coada lui ca de o antecârmă. Înaintarea amân-durora era însă extrem de prudentă. Un pas dura o veşnicie. Mai ales după ce Ţombi ezită îndelung la o bifurcare neaşteptată a potecii. Mirosuri cunoscute găsi pe ambele potecuţe… Dar mirosul familiar parcă trecuse pe cea din dreapta.",,,,,,,,,,,,,,
"Mergeau încet nenorociţii, Ţombi în frunte, prichindelul în urma lui ţinându-i coada într-un gest prelung, nesfârşit, de mângâiere şi recunoştinţă, ameninţaţi de toate spaimele nopţii, de toate duşmăniile pădurii, dar cu un mic bob de speranţă în suflet… Un bobuleţ care începu să se agite când ciufuliciul, multă vreme neciufulit de pieptenul fricii, zări, în depărtare, o tresărire luminoasă, şi care explodă de-a binelea când auzi strigăte şi nume cunoscute. Erau cireşarii! Fiecare îşi rostea numele. Oare când şi unde dispăruse spaima şi groaza şi gheaţa? Oare existaseră vreodată? Atras de jocul cireşarilor începu şi el să strige, cât îl ţineau puterile:",,,,,,,,,,,,,,
— Tic! Tic!,,,,,,,,,,,,,,
— Ursu! Ursu! Se auzea de undeva de departe.,,,,,,,,,,,,,,
— Lucia! Dan! Răsuna undeva în faţa lui.,,,,,,,,,,,,,,
— Victor! Maria! Maria! Maria!,,,,,,,,,,,,,,
Era singura care-şi repeta numele. Şi într-o clipă uită toată mişelia ei. Dar din păcate uitarea ţinu tot o clipă: „Las' că-i arăt eu! Din cauza ei.”,,,,,,,,,,,,,,
"Dar strigătele şi chemările răsunau prea frenetic şi prea aproape. Acum mai ales, ar trebui să se păzească. Să nu-i intre vreo creangă în ochi, sau să nu-l împungă vreun ciot. Dar hărmălaia îl ameţi atât de rău că nu mai reuşi să se stăpî-nească. Un singur lucru ştia: lumina pe care-o văzuse tresărind şi care creştea mereu era un foc. Parcă-i simţea şi fumul în ochi. Acolo trebuia să ajungă. Strigându-şi din când în când numele, porni în goană, cu Ţombi după el, spre lumină. Şi deodată se trezi în faţa focului! Vesel, curajos, ce mai: Tic! Bine i-ar fi prins curajul şi veselia care-l cotropiseră definitiv, cu un ceas înainte în pădure! Uitase totul prichindelul cârn şi iarăşi ciufulit. Sosirea lui nu fusese simţită. Dar el vedea spatele cuiva şi vedea cum se reped vreascurile în vâlvătaie.",,,,,,,,,,,,,,
"— Scuzaţi, vă rog… Începu bravul ciufuliri. Aici a poposit expediţia cireşarilor?",,,,,,,,,,,,,,
Ionel se întoarse uimit şi speriat şi năucit spre vocea nevăzută:,,,,,,,,,,,,,,
— Tic!,,,,,,,,,,,,,,
— În carne şi oase! Ba chiar şi cu Ţombi lângă el!,,,,,,,,,,,,,,
"— Cum ai ajuns aici, prăpăditule?… Îâî. Răule!",,,,,,,,,,,,,,
"— M-am luat după semnalul tău, după foc. Bravo!",,,,,,,,,,,,,,
"— Mare isteţ mai eşti, îl alintă Ionel. Ai găsit pachetul cu mâncare?… Te pomeneşti că ţi-o fi foame?",,,,,,,,,,,,,,
Prichindelul era supraîncărcat de primirea lui Ionel. Se aşteptase la nişte muştruluieli şi la nişte ghionturi!,,,,,,,,,,,,,,
"— Am găsit pachetul, cum să nu-l găsesc! Şi eu care am crezut că mi l-a pus acolo zâna cea bună! Va să zică tu mi l-ai pus!",,,,,,,,,,,,,,
— E un secret! Râse Ionel. Cine l-a pus… Nu mai contează. Bine că l-ai găsit. Ei! Cum stai cu foamea?,,,,,,,,,,,,,,
"— Aoleu, ce foame mi-e! Aş mânca şi foc!… Dar ceilalţi unde-s? N-au terminat joaca?",,,,,,,,,,,,,,
— Aoleu! Şe vaită Ionel la rândul lui. Am uitat să dau semnalul. Şi ei te caută. Am organizat o expediţie în regulă ca să te găsim. Stai puţin…,,,,,,,,,,,,,,
Îşi făcu mâinile pâlnie şi începu să strige din toate puterile către toate direcţiile:,,,,,,,,,,,,,,
— Iuuuuu! Ionel… Iuuuuu! Ionel!… Iuuuuu! Ionel! Iuuuuu! Ionel!,,,,,,,,,,,,,,
"Din pădure i se răspunse cu chiote. Toţi ştiau că prichindelul se afla la foc, lângă Ionel. Dar chiotele nu încetară imediat, şi nici semnăturile orale ale cercetaşilor. Jocul se apropia însă de foc.",,,,,,,,,,,,,,
"Ionel îi oferi cârnului cu ochii numai neastâmpăr tot felul de bunătăţi şi-i povesti pe scurt, în timp ce ascultătorul înfuleca de zor, cum decursese prima zi a expediţiei. Tic dădea mereu din cap, dar nu uita să rupă în două tot ce ducea la gură şi să-l blagoslovească astfel pe Ţombi cu cel mai îmbelşugat ospăţ din viaţa lui… Meritat cu prisosinţă.",,,,,,,,,,,,,,
"— Grozavă friptură, Ţombişorule, nu?… Lasă, nu te mai preface modest! O merităm amândoi.",,,,,,,,,,,,,,
— Poate vrei un ceai cald? Îl întrebă Ionel.,,,,,,,,,,,,,,
— Mai întrebi? Răspunse puştiul uitându-se însă cu ochi de pisică spre nişte pete albe. Astea ce-s?,,,,,,,,,,,,,,
— Am uitat să-ţi spun! Tresări Ionel. Avem alegeri… Astea-s biletele de vot. Alegem şeful expediţiei… Ia stai puţin! Tu te pricepi la Morse?,,,,,,,,,,,,,,
"Tic, în loc de răspuns, bătu de câteva ori cu degetul în ceaşca de ceai.",,,,,,,,,,,,,,
"— S. O. S.! Descifră Ionel. Bravo, Ticuşor! Înseamnă că poţi să mă înlocuieşti din când la aparate.",,,,,,,,,,,,,,
"De emoţie şi bucurie, Tic scăpă îmbucătura din gură:",,,,,,,,,,,,,,
"— Zău, Ionel? Pe cuvântul tău? Nu glumeşti?",,,,,,,,,,,,,,
"— Serios, Ticuşor… Tot îmi trebuia un ajutor. Mai ales dacă voi fi ales şeful expediţiei. Lucia se va ocupa de aparatul ei.",,,,,,,,,,,,,,
Chiotele cireşarilor răsunau foarte aproape.,,,,,,,,,,,,,,
"— Zău, Ionel?! Chiar mă laşi la aparat?",,,,,,,,,,,,,,
"— Dă mâna'ncoa! Dar cu o condiţie: să ai grijă de el ca de ochii din cap! Sfânt, Ticuşor, auzi? Şi mai e ceva: să nu fii rău cu Maria şi cu Victor dacă te vor certa, auzi? O să aranjăm noi să nu te pedepsească prea rău… Asta-i o înţelegere tainică, Ticuşor. Numai noi o ştim. Dă mâna!",,,,,,,,,,,,,,
"Întâlnirea mâinilor fu foarte scurtă, abia se atinseră, pentru că în poiana luminată pătrunseseră cireşarii. Tic îi privi de departe cu un aer mirat şi naiv.",,,,,,,,,,,,,,
— Nesuferitule! Îl pironi Maria oprindu-se brusc la mijlocul drumului.,,,,,,,,,,,,,,
"Şi într-o singură clipă prichindelul uită toate blestemele, toate suferinţele îndurate din cauza ei, că îi va arăta el, şi sări pe lângă foc ca dintr-o explozie oprindu-se exact în braţele care-l aşteptau deschise.",,,,,,,,,,,,,,
— Nesuferitule!,,,,,,,,,,,,,,
"Spuseră şi ceilalţi câte ceva, cuvinte pe jumătate dojenitoare, pe jumătate bune, unii îşi plimbară degetele prin părul lui, alţii îi atinseră urechile, simţea că ajusese erou.",,,,,,,,,,,,,,
— Cum aţi crezut voi că o să plecaţi fără mine?! Îi luă imediat la rost prichindelul. Şi pe sub pământ să fi mers şi tot aş fi ajuns aici. Tocmai cu mine v-aţi pus?,,,,,,,,,,,,,,
"— Nici chiar aşa, Ticuşor! Încercă Victor să-l potolească. Dacă n-ar fi noapte, te-aş trimite imediat acasă… ca să-ţi ceri voie…",,,,,,,,,,,,,,
— Gata! Interveni Ionel. Zarurile s-au aruncat. Va trebui să-l luăm cu noi în expediţie.,,,,,,,,,,,,,,
— Şi cu biberoanele ce facem? Întrebă Dan.,,,,,,,,,,,,,,
Victor era nemulţumit de panta pe care alunecase discuţia:,,,,,,,,,,,,,,
— Tic! Spuse el. Mai întâi trebuie să lămurim ceva. Nici u-nul dintre cei pe care i-ai găsit aici n-a fugit de acasă…,,,,,,,,,,,,,,
— De unde ştiţi voi c-am fugit?,,,,,,,,,,,,,,
— Nu vrei să spui că ţi-a dat voie tăticul? Îl încolţi Maria. L-am întrebat înainte de a mă culca…,,,,,,,,,,,,,,
— Eu am spus că n-am fugit! Se încăpăţână Tic.,,,,,,,,,,,,,,
"— Aha! Îl dibui Dan. Vrei să spui că ai ieşit pe poartă, domol, ca orice om… Nu?",,,,,,,,,,,,,,
"— Da… Am plecat ca orice om… M-am grăbit eu, dar n-am fugit.",,,,,,,,,,,,,,
— Tic! Interveni iarăşi Victor. Mi se pare că ne jucăm cu vorbele. Ai plecat cu voie sau fără voie?,,,,,,,,,,,,,,
— Şi ce dac-am plecat fără voie?,,,,,,,,,,,,,,
— E rău şi urât şi vai de noi! Izbucni Maria. Un copil care-şi înşală părinţii…,,,,,,,,,,,,,,
— Şi o soră care-şi înşală frăţiorul… O întrerupse Tic. Care a vrut să-l înşele… Repară el imediat.,,,,,,,,,,,,,,
"— Ticuşor, de ce nu înţelegi? Îl dojeni Ursu. Maria te ştia acasă… Gândeşte-te la părinţii tăi, ce e în sufletul lor acum? Ce-şi închipuie?",,,,,,,,,,,,,,
— Îmi închipui foarte bine ce-şi închipuie…,,,,,,,,,,,,,,
"— Adică… Îl îmboldi Maria. Ce-ţi închipui, urâciosule?",,,,,,,,,,,,,,
— Adică nu-mi închipui… Ştiu sigur! Tăticu e foarte bucuros. Şi-a dat seama ce greşeală era să facă dacă nu venea moş Timofte…,,,,,,,,,,,,,,
— Cârnule! Sări Dan ca o fantomă. Ţi-a dat voie!,,,,,,,,,,,,,,
"— Da! Răspunse cârnul pronunţând un da nepăsător; parcă ar fi răspuns la cea mai banală întrebare, de pildă: ai pantofi?",,,,,,,,,,,,,,
Maria îi şi cuprinse capul:,,,,,,,,,,,,,,
— Răule! Urâciosule! Nesuferitule! Mişelule!,,,,,,,,,,,,,,
"— Dac-ai vorbi la feminin… Mai izbuti el să îngâne, dar fu repede sufocat de îmbrăţişarea caldă.",,,,,,,,,,,,,,
"De undeva de lângă foc, Ursu îi făcu, prieteneşte, din ochi, iar ştrengarul îi răspunse cu un zâmbet ascuns.",,,,,,,,,,,,,,
"— Acum fii sincer, Ticuşor, şi spune! Îl îndemnă Victor. Nu era mai bine să ne anunţi de-aseară?",,,,,,,,,,,,,,
"— Am vrut să vă fac o surpriză, pe cuvânt…",,,,,,,,,,,,,,
"— Dacă ai şti prin ce emoţii am trecut, mamă dragă…",,,,,,,,,,,,,,
— Voi?!,,,,,,,,,,,,,,
— Te pomeneşti că şi ţie ţi-a venit surpriza de hac… Îl zgândări Lucia. Ia recunoaşte!,,,,,,,,,,,,,,
"— Aş! Respinse prichindelul provocarea. Dac-aţi şti ce frumos şi interesant e în pădure, seara!… Am văzut atâtea dihănii. Adică nu-i frumos, dar e interesant. Mai ales dacă nu-ţi pierzi firea şi te uiţi la grozăviile din jur…",,,,,,,,,,,,,,
— Şi cam ce-ai văzut? Îl iscodi Lucia.,,,,,,,,,,,,,,
"— Psssst! O groază de dihănii… Păcat că n-aţi fost şi voi. Şi mai ales tu, Lucia. Am văzut un balaur cu vreo cincizeci de capete… Şi nişte babe cu gheburi de cămilă, să mor eu… Şi nişte jivine cu colţi şi gheare de un metru… Ştiţi cum am trecut pe lângă ele?",,,,,,,,,,,,,,
— Chiar le-ai văzut? Persevera Lucia.,,,,,,,,,,,,,,
— Aşa cum vă văd pe voi. Şi când închideam ochii.,,,,,,,,,,,,,,
— Şi nu ţi-ai fost frică? Întrebă Dan.,,,,,,,,,,,,,,
— Frică…?! Mie?!,,,,,,,,,,,,,,
— Tic!… Îl potoli Lucia pe marele curajos. Ştii tu cine dă drumul tuturor acestor dihănii? Ştii cine le face şi le aduce în faţa ochilor?,,,,,,,,,,,,,,
"— Cine, mă rog?",,,,,,,,,,,,,,
"— Frica, prostuţule! Te-ai dat singur de gol!",,,,,,,,,,,,,,
"— Ba nu! Voi sunteţi nişte răutăcioşi şi nişte invidioşi. Vă pare rău c-am venit singur, noaptea, prin pădure. Las' că ştiu eu! Şi la urma urmei, mai mare spaimă aţi tras voi!",,,,,,,,,,,,,,
— Asta e adevărat… Îl mustră Ursu de lângă foc.,,,,,,,,,,,,,,
"Era un moment de pauză, şi Ionel le aminti celorlalţi că prima zi a expediţiei nu s-a încheiat:",,,,,,,,,,,,,,
— Ar fi bine să trecem la al doilea scrutin…,,,,,,,,,,,,,,
"— Exact, la asta m-am gândit şi eu, spuse Lucia. Dar, ce facem cu Tic? Face sau nu parte din expediţie?",,,,,,,,,,,,,,
"— Sigur că face, de vreme ce a plecat cu voie, răspunse Ionel. Eu sunt de părere să-i dăm şi lui drept la vot. Se pricepe destul de bine la Morse, are ochi buni, poate să ne ajute cu adevărat. Nu-i aşa, Tic?",,,,,,,,,,,,,,
"Tic se grăbi să încuviinţeze, iar Lucia, văzând că spusele lui Ionel capătă aprobarea celorlalţi, îi lămuri prichindelului situaţia. Dar Tic îşi dăduse de multă vreme votul.",,,,,,,,,,,,,,
"Alte bileţele se împărţiră, iarăşi se umplu urna, iarăşi se răsturnară, iarăşi se auzi vocea Luciei, mai mirată de astă dată, dar rezultatul nu mai era acelaşi, nici nu mai putea fi acelaşi:",,,,,,,,,,,,,,
"— Victor, trei… Ionel, patru!",,,,,,,,,,,,,,
"Ionel devenise conducătorul expediţiei! Când celălalt candidat îi ură succes, Lucia înţelese, abia atunci, că nu Tic, ci Victor hotărâse rezultatul.",,,,,,,,,,,,,,
"Ionel, molipsit de energia şi dinamismul Luciei îşi luă imediat în primire atribuţiile. O imita pe Lucia întocmai, fără să-şi dea seama, bineînţeles: în felul cum vorbea, în rapiditatea pe care o impunea, chiar şi în unele gesturi.",,,,,,,,,,,,,,
"Strânşi în jurul focului, fără nelinişti rele, zgândăriţi din când în când de emoţii plăcute, cireşarii îşi ascultau conducătorul, ales prin vot secret, unii cu uimire chiar, şi toţi aprobându-i spusele. Ionel argumenta necesitatea despărţirii expediţiei în două grupuri. Devenise foarte clar pentru toţi: siguranţa şi reuşita expediţiei depindeau de această măsură. Dar o dată cu această convingere creştea şi altceva în sufletele cutezătorilor: o nelinişte, o emoţie, o durere. Tocmai pentru a atenua acest sentiment, interveni Victor:",,,,,,,,,,,,,,
"— Despărţirea va dura foarte puţin: o zi, poate două zile, poate chiar mai puţin de o zi, până vom face prima explorare. Când ne vom hotărî să începem harta, numai unul dintre noi va rămâne cu schimbul la aparat, afară, ceilalţi vor putea să colinde în voie peştera. Lanterne avem, baterii avem, timp avem destul… Până la urmă ne vom plictisi de peşteră şi vom sta mai mult afară…",,,,,,,,,,,,,,
"— Totuşi… Prima întâlnire, primii fiori… se auzi o voce cu tristeţi şi nostalgii.",,,,,,,,,,,,,,
"Da! Prima explorare, primele emoţii, primele descoperiri! Cui îi erau hărăzite?… De aici izvora neliniştea dureroasă a câtorva cireşari. Cine va intra în peşteră?… Cine va rămâne afară?",,,,,,,,,,,,,,
"Ionel propuse ca grupurile să se alcătuiască în urma unor discuţii deschise, şi Victor îl susţinu din primul moment, dar toţi ceilalţi se opuseră ca nişte draci. Nici nu voiau să audă de discuţii şi aranjamente: „Las' că ştim noi”, insinuase Dan făcându-i cu ochiul lui Tic. „Să tragă la sorţi!” Măcar să aibă fiecare aceeaşi şansă. Nici o concesie! Ori vor hotărî sorţii, ori… la revedere!",,,,,,,,,,,,,,
"Ionel mai încercă o dată să-i convingă, dezvăluindu-le o teamă, care era şi a lui Victor, că sorţii ar putea, de pildă, să hotărască o asemenea componenţă: Maria, Lucia, Dan şi Tic în peşteră, pentru că peşterii îi erau repartizate patru locuri, ceilalţi afară. Exemplul lui Ionel dezlănţui un uragan acolo între corturi. Numai Ursu rămase tăcut. Ceilalţi, şi mai ales prichindelul fioros, făcură un tărăboi cumplit. Şi ca să nu se mai piardă timpul, şi ca să arate că sunt democraţi, mai ales că erau foarte siguri de rezultat, scandalagiii cerură să se pună la vot modalitatea alcătuirii grupurilor: prin vot sau prin discuţii? Victor şi Ionel votară pentru discuţii, Lucia şi Ursu se abţinură, Maria, Dan şi Tic indicară sorţii şi câşti-gară partida. Şi totuşi discuţiile, adică adepţii „discuţiilor” se aleseseră cu ceva: conducătorul expediţiei va face parte, de drept, din grupul peşterii. Şi mai obţinuseră ceva: dacă grupurile vor fi foarte neechilibrate, plenul va putea hotărî prin majoritate de voturi transferuri dintr-un grup în altul.",,,,,,,,,,,,,,
"— Şi calificativul de neechilibrat cine-l va da? Întrebă Dan. Va trebui să-l punem la vot… Şi dreptul de a pune calificativul la vot, tot prin vot trebuie să-l obţinem… ca să vedeţi ce limpede şi sigură e democraţia…",,,,,,,,,,,,,,
"Lucia îi făcu semn să tacă şi Dan se supuse, dar nu şi Tic care încercă, ingratul, să-l oblige şi pe conducătorul expediţiei să se înfrunte cu sorţii. Probabil pentru prima dată, prichindelul nu avea încredere în anturajul cu care se înţelesese atât de bine până atunci, chiar în situaţii foarte grele, aproape fără scăpare, anturajul Fortunei. Din păcate, argumentaţia lui fu respinsă fără cruţare, şi trebuia deci să se mulţumească doar cu trei şanse din şapte, nu cu patru, cum ar fi fost drept. „Cea de a patra şansă mă va nenoroci”, îşi spuse foarte speriat prichindelul. Şi cu voce tare:",,,,,,,,,,,,,,
"— Dacă ar fi patru locuri în peşteră, unul ar fi absolut sigur al meu…",,,,,,,,,,,,,,
"Numai Dan îi dădu dreptate, mizând însă şi el tot pe al patrulea bilet.",,,,,,,,,,,,,,
"Lucia agită urna cu cele şase bileţele. Pe trei din ele scria: peşteră, pe celelalte trei: afară. Câteva clipe, nimeni nu îndrăzni să-şi încerce, primul, şansa. Se uitau unii la alţii îndemnându-se, adică speriindu-se, cu privirile. Şi totuşi, zburlindu-se şi împungându-i pe ceilalţi, prichindelul cu păr de aur şi cu argint viu în priviri provocă sorţii. Scoase biletul, îl despături… Şi deodată sări ca un apucat azvârlindu-şi vocea până la capătul pădurii:",,,,,,,,,,,,,,
— Peştera! Merg în peşteră! Uitaţi-vă şi voi!,,,,,,,,,,,,,,
"Şi plimbă, cu un gest de triumf, bileţelul aducător de fericire, oare numai fericire? Pe la nasul celorlaţi. De la primul bileţel, şansele se împuţinaseră, dar sporiseră în schimb emoţiile. Alte ezitări, până ce Victor băgă degetele în urnă şi spuse cu un uşor tremur în glas:",,,,,,,,,,,,,,
— În peşteră…,,,,,,,,,,,,,,
Apoi indiferenţa Luciei care nu era deloc simulată:,,,,,,,,,,,,,,
"— Afară, pe munte…",,,,,,,,,,,,,,
"Apoi, Dan, consolându-se cu un oftat şi cu:",,,,,,,,,,,,,,
— Soarele şi Lucia… Sau Lucia şi soarele…,,,,,,,,,,,,,,
"Mai erau două bileţele în urnă. Unul dispăru în pumnul Mariei. Îl strânse aproape cu disperare, dar încă nu-l deschise. Ultimul se desfăcea în mâna lui Ursu. Dar nici el nu spuse vreun cuvânt. Se uită mai întâi la Maria şi-o văzu aruncând hârtia în flăcări, şi apoi privind, până la durere, până la lacrimi, jarul galben şi rău: Adio… Primii fiori, prima întâlnire…",,,,,,,,,,,,,,
— Afară… Spuse Ursu cu un glas incolor.,,,,,,,,,,,,,,
"Maria tresări şi se uită nedumerită la vlăjganul care mototolea bileţelul. Ar fi vrut să i-l ceară, să citească şi ea cuvântul care era scris pe el. Dar bileţelul zbură în flăcări şi ea înţelesese tot ce se întâmplase şi nu mai avu nici o urmă de îndoială când îl văzu pe Ursu ocolindu-i privirile care voiau să-i mulţumească.",,,,,,,,,,,,,,
Tăcerea era prea grea. Noroc că o spulberă prichindelul prin nişte aplauze pe care le adresa tuturor:,,,,,,,,,,,,,,
— Grozav! Spuse el. Fiuuuuu! Ce grozav!,,,,,,,,,,,,,,
Dar oare ce s-ar fi întâmplat dacă mâna lui îndrăzneaţă ar fi nimerit alt bileţel? Era întrebarea care-l speriase pe Ursu. Şi cât de mult voise să-l împiedice pe prichindel să tragă primul! Şi prichindelul înţelesese tocmai pe dos!,,,,,,,,,,,,,,
Ionel reconstitui grupurile:,,,,,,,,,,,,,,
"— Eu, Victor, Maria şi Tic vom intra în peşteră. Lucia, Dan şi Ursu vor explora, paralel cu noi, coasta muntelui. Precum am convenit trebuie să întreb dacă vrea cineva să facă vreo observaţie cu privire la grupuri… Dacă îşi închipuie că e necesar un transfer oarecare…",,,,,,,,,,,,,,
Toţi erau de părere că grupurile erau perfect echilibrate. Alte observaţii nu se auziră. Numai Tic se apropie de Ursu şi-l privi cu tristeţe sinceră. Ar fi vrut atât de mult să meargă împreună… Dar numai în peşteră.,,,,,,,,,,,,,,
"— Îmi pare foarte rău că ne despărţim, şopti el. Ce sorţi răutăcioşi! Las' că…",,,,,,,,,,,,,,
"Ursu îi acoperi blând, cu palma, chica aurie şi răzvrătită, apoi îl trase încet spre pieptul său:",,,,,,,,,,,,,,
"— Las' că ne înţelegem noi… Prin aparat… Şi sunt sigur, Ticuşor, c-o să ne-ntâlnim repede…",,,,,,,,,,,,,,
Ionel anunţă programul zilei care urma:,,,,,,,,,,,,,,
— Scularea în zori… Despărţirea… La gura peşterii confecţionăm pluta… Aşa! Peste cinci minute: stingerea. Somnul obligatoriu. Şi vă urez: Noapte bună!,,,,,,,,,,,,,,
Ursu se uită spre Lucia: Lucia se uită la Victor.,,,,,,,,,,,,,,
"Somnul fiind obligatoriu, dar mai ales pentru că oboseala suia iarăşi prin membre, iar fantezia însăila o zi plină şi grea: ziua a doua, tinerii intrară repede în corturi. Somnul nu se mai furişă ca altă dată, ameţind mai înainte gândurile, ci veni iute şi autoritar. În cortul băieţilor, doi cireş ari îi mai rezistară câteva clipe, clipele în care ar fi vrut să-şi spună, simultan, unul altuia: „Ai grijă de ceilalţi”. Dar gândurile lor se întâlniră înaintea şoaptelor, pecetluind acelaşi mesaj nerostit. Noaptea molatică pătrunse pe nesimţite şi în gândurile lor.",,,,,,,,,,,,,,
Cerul era împroşcat cu jar. Stelele parcă se înţeleseseră să vegheze neostenite şi duioase până în zori visele acelor care peste câteva ore îşi vor începe marele vis.,,,,,,,,,,,,,,
Cine le-a şoptit oare atât de blând tinerilor cutezători: Noapte bună! Poate chiar tu…,,,,,,,,,,,,,,
CAPITOLUL X.,,,,,,,,,,,,,,
"Unul dintre grupuri, cel pe care sorţii, şi duioşia lui Ursu, îl hărăziseră primei întâlniri, primilor fiori, ajunsese la intrarea peşterii. Celălalt abia se mai zărea undeva, departe, pe coasta muntelui. Cireşarii începeau să bată la poarta marelui vis…",,,,,,,,,,,,,,
